,title,description,video_id,epilepsy_mentioned
175,Logic - 44 More [Bass Boosted],"Now playing: Logic - 44 More [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",f2iA0Ojozv8,True
176,Kulikitaka Ti (Jersey Club Remix) [Bass Boosted] @DayLyte,"Thanks for watching Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO ...",81jV2aXr7B4,True
178,Yellow Claw & DJ Snake - Public Enemy (Darkest Light Remix) [Bass Boosted],"Now playing: Yellow Claw & DJ Snake - Public Enemy (Darkest Light Remix) [Bass Boosted] Requested by: Born Again Show more (epilepsy warning, credits ...",fud0HdTeTUk,True
179,HALLOWEEN BASS TEST!!!,"Now playing: Noxero - Fortuna W/ Highsky [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",PUhfDqH9pJ4,True
180,XXXTENTACION - SAD! (Jersey Club Remix) [Bass Boosted] @DJTAJ,"Now playing: XXXTENTACION - SAD! (Jersey Club Remix) [Bass Boosted] @DJTAJ Thanks for watching. Show more (epilepsy warning, credits and copyright).",8JhzlW41nD8,True
183,"Earth, Wind, And Fire - September (Suede Trap Remix) [Bass Boosted]","Now playing: Earth, Wind, And Fire - September (Suede Trap Remix) [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",WyGX5RVRBYY,True
185,Nelly - Here Comes The Boom (Dekku Remix) [Bass Boosted],Now playing: Nelly - Here Comes The Boom (Dekku Remix) [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy ...,6BxviXKNP8g,True
186,Fukkit - 30 [Bass Boosted],"Now playing: Fukkit - 30 [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS BEEN ...",RTQUgaagkog,True
187,"THUTMOSE PERFORMANCE || LOS ANGELES, CA",WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,oJ4q4PhVkuY,True
188,BÖ & DEFOX - Jinaa,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. - UYARI: Bu video ışığa ...,OHTFbcnJVXo,True
189,Kazoo Kid - Trap Remix [Bass Boosted],Kazoo Kid - Trap Remix [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES ...,W_JbAJy2k_s,True
191,Ran-D & B-Front - The Message (Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,dd4Ebvr5jgI,True
192,FE - Me and the devil (Release),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy.,2br981x0WMc,True
193,Olympians in Paris,SciOly going to state. Warning: This video is based off the original music video which has been identified by epilepsy action to potentially trigger seizures for ...,HhWovzAksoY,True
194,Niklas Ahlström - Hotshot 3 [Bass Boosted],Who also loves this awesome song? ❤ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR ...,nM3Jg8IWHVQ,True
195,THE ID - deadHYPE,The ID is our first instalment translating Freudian theory to the 21st Century Warning: This video has been identified by epilepsy action to potentially trigger ...,LpjdxxUjc3o,True
196,PROM 2018,WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES TO PEOPLE WITH PHOTOSENSITIVE ...,PNzjtMUszY8,True
197,HOPEX - Cash Money [Bass Boosted],HOPEX - Cash Money [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES ...,so5PK4NPSUE,True
198,SIKMIL - PURGATORY,Spooky track for Halloween ! - (WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive ...,UEDc_h0rP-M,True
199,Top Ten Best Kanye West Songs,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,G0tvStWezls,True
200,Yung Gravy - Cheryl [Bass Boosted],"Now playing: Yung Gravy - Cheryl [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS ...",K72dZrHfVY4,True
201,Enrico Octaviano - Leaving the Dark (Official Music Video),WARNING This video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised A ...,qlGciLJvjpU,True
202,Local Natives - The Only Heirs,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,rHZKOUpvYr0,True
203,Yeah Yeah Yeahs - Heads Will Roll (JVH-C Remix) [Bass Boosted],Yeah Yeah Yeahs - Heads Will Roll (JVH-C Remix) [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO ...,SJNzkQHOGbU,True
205,Brinca - IVARR ft. Ma-Less ( Official Music Video ),WARNING This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy VIEWER DISCRETION IS ...,c_80LNune50,True
206,Snail's House - I Secretly Love U [Bass Boosted],"Now playing: Snail's House - I Secretly Love U [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",WIkS3e9JgsI,True
207,The Wedge | April 19th | 2016,Sneaky swell hits the tide just right. WARNING : This video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive ...,9EXK29_U5mQ,True
208,Kendrick Lamar - Cartoons and Cereal lyrics [Explicit],WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE ...,BRJQ2bS3BJ0,True
209,XXXTENTACION - R.I.P Roach ft. $ki Mask [Bass Boosted],"Now playing: XXXTENTACION - R.I.P Roach ft. $ki Mask [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright)... WARNING: ...",kj5PRcIxMK8,True
210,The Scenario Official Promo Video #Mr Cinemas ©2018,Find out what's inside in this promo video There is a suprise waiting for you inside to watch Warning:- This Video has been identified by epilepsy action to ...,rEipGe8UpxI,True
211,Russ - Too Many [Bass Boosted],Link to Official MusicVideo - https://www.youtube.com/watch?v=VbRZMZisILw WARNING ! ! ! This Video Has been Identified By Epilepsy action to Potentially...,WRudcgddcJQ,True
212,THE TRACK,WARNING - This video has benn identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy. #numb ...,Ijnt44G5eko,True
213,JMG VII laida - Paliekama sistema (dvyliktokų palikimas),Panevėžio Juozo Miltinio gimnazijos VII abiturientų laidos palikimas vienuoliktokams. WARNING This video has been identified by epilepsy action to potentially ...,xZnWuggYLPQ,True
214,A Day In The Life Of  A Pizza Delivery Driver,WARNING - This video has been identified by epilepsy action to potentially trigger seizures for people with Photosensitive Epilepsy - Viewer discretion is ...,DHtB02Ugwnw,True
215,The Weeknd - Next (PM Remix) [Bass Boosted],"Now playing: The Weeknd - Next (PM Remix) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",phsIjMDPR3s,True
216,VICES - extasis [Bass Boosted],VICES - extasis [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR ...,XUt16eL8BZM,True
217,Sir Mix-a-Lot - Baby Got Back (DJ Russticals Rebass) (44-48hz) [Bass Boosted],"Now playing: Sir Mix-a-Lot - Baby Got Back (DJ Russticals Rebass) (44-48hz) Thanks for watching. Show more (epilepsy warning, credits and copyright).",1qY1bPqmy2A,True
218,Harlem Shake Internet Edition,This video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy. Viewer Discretion is advised.,BUZz3MxRsaU,True
219,We Are Number One (Vylet Remix) (Bass Boosted) ''Remake'',Others wanted an remake (other Logo etc.) ⚠️WARNING⚠   ❗️THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER ...,UMc-D3Dvm5s,True
220,Goodleaf - Invaders Live @ BMDM 2018 Highlights,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,7gUD2Jd6L3M,True
221,King Critical - Imbecile,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,pKxqNy831_U,True
222,Hallucination Test-Halüsünasyon Testi,NOTE*** This Video has been identified by epilepsy action to potentially trigger seizures for people with Photosensitive epilepsy.Viever discretion is advised.,TPTAY965-hw,True
223,The Journey // Teaser,WARNING /// This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is ...,t-T1RjDpfOI,True
224,White Katana - Valkyrie,WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,nsrXxdGa5pM,True
227,30 Seconds To Mars - Up In The Air [Official Video Edit],"Thirty Seconds To Mars performing ""Up In The Air"" the short film by Bartholomew Cubbins. WARNING: This video has been identified by Epilepsy Action to ...",MWDHPvHbeB8,True
228,HALF FACE ft STAY JAY - 6 MELUDO - BLUEBIRDMUSIC OFFICIAL VIDEO,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,qyZeQGJfs_4,True
